CD4_Memory_Primary_Cells | H3K27ac | Roadmap
CD4_Memory_Primary_Cells | H3K27me3 | Roadmap
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap
CD4_Memory_Primary_Cells | H3K4me1 | Roadmap
CD4_Memory_Primary_Cells | H3K4me3 | Roadmap
CD4_Memory_Primary_Cells | H3K9me3 | Roadmap
CD4_Naive_Primary_Cells | H3K27ac | Roadmap
CD4_Naive_Primary_Cells | H3K27me3 | Roadmap
CD4_Naive_Primary_Cells | H3K36me3 | Roadmap
CD4_Naive_Primary_Cells | H3K4me1 | Roadmap
CD4_Naive_Primary_Cells | H3K4me3 | Roadmap
CD4_Naive_Primary_Cells | H3K9ac | Roadmap
CD4_Naive_Primary_Cells | H3K9me3 | Roadmap
CD8_Memory_Primary_Cells | H3K27ac | Roadmap
CD8_Memory_Primary_Cells | H3K27me3 | Roadmap
CD8_Memory_Primary_Cells | H3K36me3 | Roadmap
CD8_Memory_Primary_Cells | H3K4me1 | Roadmap
CD8_Memory_Primary_Cells | H3K4me3 | Roadmap
CD8_Memory_Primary_Cells | H3K9me3 | Roadmap
CD8_Naive_Primary_Cells | H3K27ac | Roadmap
CD8_Naive_Primary_Cells | H3K27me3 | Roadmap
CD8_Naive_Primary_Cells | H3K36me3 | Roadmap
CD8_Naive_Primary_Cells | H3K4me1 | Roadmap
CD8_Naive_Primary_Cells | H3K4me3 | Roadmap
CD8_Naive_Primary_Cells | H3K9ac | Roadmap
CD8_Naive_Primary_Cells | H3K9me3 | Roadmap
CUTLL1_T_Lymphocyte_Blood | BRD4 | ID:43109
CUTLL1_T_Lymphocyte_Blood | EP300 | ID:43111
CUTLL1_T_Lymphocyte_Blood | ETS1 | ID:43097
CUTLL1_T_Lymphocyte_Blood | GABPA | ID:43098
CUTLL1_T_Lymphocyte_Blood | H3K27ac | ID:43106
CUTLL1_T_Lymphocyte_Blood | H3K27ac | ID:43107
CUTLL1_T_Lymphocyte_Blood | H3K27ac | ID:43108
CUTLL1_T_Lymphocyte_Blood | H3K27ac | ID:85577
CUTLL1_T_Lymphocyte_Blood | H3K27ac | ID:85578
CUTLL1_T_Lymphocyte_Blood | H3K27me3 | ID:387
CUTLL1_T_Lymphocyte_Blood | H3K27me3 | ID:48572
CUTLL1_T_Lymphocyte_Blood | H3K27me3 | ID:48573
CUTLL1_T_Lymphocyte_Blood | H3K4me1 | ID:388
CUTLL1_T_Lymphocyte_Blood | H3K4me3 | ID:389
CUTLL1_T_Lymphocyte_Blood | KDM6B | ID:48576
CUTLL1_T_Lymphocyte_Blood | KDM6B | ID:48577
