SEM_Pre-B_Lymphocyte | MLLT1 | ID:59168
T_Lymphocyte | H3K4me2 | ID:69011
OCI-Ly3_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48640
Monocyte_Blood | H3K27me3B | ID:45533
GM12878_B_Lymphocyte_Blood | REST | ID:47849
B_Lymphocyte | CD74 | ID:76930
T_Lymphocyte_Blood | H3K4me2 | ID:47997
GM12878_B_Lymphocyte_Blood | E2F4 | ID:45617
T_Lymphocyte | H3K4me3 | ID:69008
T_Lymphocyte_Blood | H3K4me2 | ID:47930
B_Lymphocyte_Blood | MYC | ID:5967
T_Lymphocyte | H3K4me1 | ID:8209
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45659
GM12878_B_Lymphocyte_Blood | RXRA | ID:46125
T_Lymphocyte_Blood | H3K27ac | ID:56924
T_Lymphocyte | H3K4me3 | ID:69016
MM1.S_B_Lymphocyte_Blood | BRD3 | ID:43051
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K4me2 | ID:48018
GM12878_B_Lymphocyte_Blood | DNase | ID:6712
Raji_B_Lymphocyte_Blood | ATAC-seq | ID:59671
Monocyte_Blood | H3K27me3 | ID:48111
Pre-B_Lymphocyte | EP300 | ID:51249
P493-6_B_cell_lymphoma | MAX | ID:33194
Dendritic_Cell | H3K4me3 | ID:53582
T_Lymphocyte_Blood | H3K4me2 | ID:47946
T_Lymphocyte | STAT5A | ID:73724
T_Lymphocyte | ATAC-seq | ID:59751
KOPT-K1_T_Lymphocyte_Blood | H3K27ac | ID:43743
GM12878_B_Lymphocyte_Blood | CEBPA | ID:48280
T_Lymphocyte_Blood | H3K27ac | ID:58685
MM1.S_B_Lymphocyte_Blood | MAX | ID:33191
B_Lymphocyte_Blood | ATAC-seq | ID:61824
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | E2F1 | ID:41481
T_Lymphocyte | ATAC-seq | ID:66028
DND-41_T_Lymphocyte_Blood | H3K9ac | ID:45197
Jurkat_T_Lymphocyte_Blood | H3K27ac | ID:50568
B_Lymphocyte_Tonsil | KMT2D | ID:56478
B_Lymphocyte | CD74 | ID:76927
B_Lymphocyte_Blood | SMARCA4 | ID:33434
Natural_Killer_Cell_Blood | H3K27ac | ID:44048
T_Lymphocyte_Blood | H3K4me2 | ID:47925
T_Lymphocyte_Blood | H3K27ac | ID:56928
T_Lymphocyte | ATAC-seq | ID:66036
Raji_B_Lymphocyte_Blood | MYC | ID:70964
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:39001
T_Lymphocyte_Blood | H3K4me2 | ID:47996
T_Lymphocyte_Blood | H3K4me2 | ID:47986
GM12878_B_Lymphocyte_Blood | POLR2A | ID:677
GM12878_B_Lymphocyte_Blood | CEBPA | ID:48277
B_Lymphocyte_Blood | ATAC-seq | ID:61831
T_Lymphocyte_Blood | H3K4me2 | ID:47978
GM12878_B_Lymphocyte_Blood | SIN3A | ID:45639
GM12878_B_Lymphocyte_Blood | POLR2A | ID:46137
T_Lymphocyte_Blood | H3K4me2 | ID:47942
U-2932_B_Lymphocyte | STAT3 | ID:42220
T_Lymphocyte | ATAC-seq | ID:65957
T_Lymphocyte_Blood | H3K4me3 | ID:6661
CAL-1_Dendritic_Cell | TCF4 | ID:47101
Jurkat_T_Lymphocyte_Blood | TET2 | ID:81536
GM12878_B_Lymphocyte_Blood | ZBTB33 | ID:48320
